State,County,Life Expectancy,Population,% Rural,Premature Deaths,% Smoking,% Obesity,% Physical Inactivy,% Excessive Drinking,% Uninsured,PCP Number,PCP Rate,MHP Number,MHP Rate,Preventable Hospital Rate,% Mammogram,% Flu Vaccine,% Unemployed,Median Household Income
Georgia,Decatur,74.266507804,26404,15724,520.0,23,27,29,14,18.0,12.0,45.0,15.0,57.0,6194.0,35.0,35.0,"3,8",40473
Georgia,DeKalb,80.402244505,759297,1820,7810.0,16,27,20,18,17.0,828.0,109.0,2340.0,308.0,4278.0,37.0,47.0,"3,4",63606
Georgia,Dodge,76.342468033,20605,15743,386.0,23,42,25,16,15.0,8.0,39.0,7.0,34.0,4740.0,37.0,43.0,"5,4",41118
Georgia,Dooly,79.516503427,13390,8006,206.0,24,39,31,15,17.0,1.0,7.0,309.07331166486097,172.59552184904297,6255.0,46.0,37.0,"3,8",37109
Georgia,Dougherty,74.441725155,87956,13201,1610.0,22,39,35,12,17.0,72.0,79.0,123.0,140.0,5359.0,46.0,41.0,"4,7",36894
Georgia,Douglas,77.839585406,146343,20863,1736.0,18,34,25,15,15.0,53.0,36.0,161.0,110.0,5334.0,37.0,45.0,"3,5",62915
Georgia,Early,73.039393215,10190,7260,230.0,24,46,28,14,14.0,7.0,68.0,7.0,69.0,5276.0,28.0,33.0,"3,9",40011
Georgia,Effingham,76.488185614,64296,35035,848.0,20,36,32,19,14.0,14.0,23.0,28.0,44.0,4165.0,42.0,42.0,"2,9",71628
Georgia,Elbert,75.09341708,19194,14241,406.0,23,44,39,16,18.0,9.0,47.0,7.0,36.0,6101.0,35.0,33.0,"4,0",40962
Georgia,Emanuel,72.374631486,22646,15114,483.0,25,37,29,15,16.0,10.0,44.0,24.0,106.0,8374.0,34.0,35.0,"5,3",38529
Georgia,Evans,75.961909902,10654,6741,167.0,24,42,26,15,18.0,5.0,47.0,309.07331166486097,172.59552184904297,6264.0,41.0,45.0,"3,4",41425
Georgia,Fannin,77.484900578,26188,23682,468.0,20,29,30,19,19.0,12.0,46.0,18.0,69.0,3855.0,40.0,48.0,"3,3",47980
Georgia,Fayette,81.147419707,114421,19372,1109.0,13,28,20,19,11.0,125.0,110.0,231.0,202.0,3321.0,49.0,52.0,"3,0",94563
Georgia,Floyd,75.155579137,98498,35466,1677.0,21,34,33,16,17.0,128.0,131.0,129.0,131.0,7180.0,40.0,50.0,"3,8",50520
Georgia,Forsyth,82.311960582,244252,17414,1502.0,12,27,17,18,11.0,94.0,40.0,148.0,61.0,3810.0,40.0,53.0,"2,7",113332
Georgia,Franklin,73.855534844,23349,19639,465.0,24,28,27,17,19.0,6.0,26.0,17.0,73.0,5751.0,39.0,52.0,"3,5",47691
Georgia,Fulton,79.624634916,1063937,9921,10613.0,13,25,21,20,14.0,1162.0,111.0,2613.0,246.0,4273.0,38.0,50.0,"3,5",79235
Georgia,Gilmer,76.934230132,31369,24796,533.0,21,25,32,19,25.0,17.0,55.0,22.0,70.0,3144.0,38.0,48.0,"3,5",57007
Georgia,Glascock,74.227802239,2971,3082,62.0,25,31,23,17,15.0,1.0,33.0,309.07331166486097,172.59552184904297,3444.0,41.0,40.0,"3,7",49350
Georgia,Glynn,77.437436268,85292,16376,1331.0,19,32,30,19,18.0,43.0,50.0,116.0,136.0,4870.0,45.0,46.0,"3,3",58017
Georgia,Gordon,75.718635888,57963,28453,917.0,23,33,34,17,21.0,24.0,42.0,32.0,55.0,5760.0,36.0,49.0,"3,4",53373
Georgia,Grady,76.32448775,24633,15597,449.0,23,36,37,16,21.0,13.0,53.0,4.0,16.0,5740.0,48.0,42.0,"3,4",42603
Georgia,Greene,78.34861511,18324,13235,291.0,20,32,36,16,20.0,10.0,57.0,7.0,38.0,4073.0,52.0,52.0,"3,9",60973
Georgia,Gwinnett,81.221645461,936250,3910,6883.0,14,32,25,17,18.0,603.0,65.0,1054.0,113.0,3977.0,37.0,48.0,"3,0",72225
Georgia,Habersham,77.639270142,45328,25292,616.0,21,31,25,17,20.0,22.0,48.0,18.0,40.0,4850.0,44.0,47.0,"3,5",51296
Georgia,Hall,79.469913098,204441,36937,2173.0,17,32,25,18,21.0,116.0,57.0,179.0,88.0,5175.0,45.0,50.0,"2,8",66698
Georgia,Hancock,75.681611131,8457,5807,175.0,27,30,24,14,14.0,1.0,12.0,3.0,35.0,3239.0,42.0,35.0,"5,5",31715
Georgia,Haralson,74.381829679,29792,22264,566.0,23,25,26,18,16.0,12.0,41.0,16.0,54.0,4457.0,33.0,37.0,"3,3",49020
Georgia,Harris,79.361516044,35236,30962,455.0,16,31,20,19,12.0,13.0,38.0,7.0,20.0,3600.0,41.0,44.0,"3,1",74052
Georgia,Hart,78.359466719,26205,18775,385.0,24,32,26,16,18.0,9.0,34.0,6.0,23.0,5029.0,40.0,53.0,"3,5",50647
Georgia,Heard,75.793059804,11923,11834,225.0,23,37,29,18,15.0,2.0,17.0,3.0,25.0,3529.0,32.0,42.0,"3,3",48984
Georgia,Henry,77.564353779,234561,28250,2747.0,17,35,25,15,14.0,112.0,49.0,351.0,150.0,3887.0,44.0,45.0,"3,5",72927
Georgia,Houston,77.334149502,157863,13937,1934.0,18,37,27,15,12.0,86.0,55.0,242.0,153.0,6304.0,45.0,39.0,"3,3",65641
Georgia,Irwin,73.43718528,9416,6172,184.0,25,35,31,15,15.0,3.0,32.0,2.0,21.0,6110.0,38.0,41.0,"4,7",42317
Georgia,Jackson,77.314428608,72977,36300,952.0,20,27,32,19,15.0,39.0,55.0,34.0,47.0,5227.0,46.0,52.0,"2,7",66645
Georgia,Jasper,76.421863242,14219,11365,231.0,24,35,28,16,20.0,5.0,36.0,6.0,42.0,3340.0,42.0,50.0,"3,1",59207
Georgia,Jeff Davis,74.060988604,15115,10474,286.0,25,38,30,16,20.0,3.0,20.0,1.0,7.0,4151.0,36.0,37.0,"4,6",40603
Georgia,Jefferson,72.804868911,15362,13657,368.0,24,28,30,14,18.0,4.0,26.0,309.07331166486097,172.59552184904297,7213.0,43.0,26.0,"4,7",35379
Georgia,Jenkins,74.684862898,8676,5513,162.0,25,35,22,15,17.0,3.0,35.0,1.0,12.0,4204.0,40.0,28.0,"5,1",32808
Georgia,Johnson,75.413986242,9643,6528,182.0,25,47,38,17,16.0,5.0,52.0,1.0,10.0,5327.0,37.0,41.0,"3,6",37771
Georgia,Jones,78.33093768,28735,19413,418.0,20,35,30,17,14.0,6.0,21.0,8.0,28.0,5469.0,51.0,50.0,"3,2",56819
Georgia,Lamar,74.710125004,19077,11150,336.0,22,37,29,17,15.0,6.0,32.0,13.0,68.0,6051.0,42.0,47.0,"3,9",57402
Georgia,Laurens,74.111769032,47546,27435,925.0,24,38,37,14,16.0,41.0,87.0,99.0,208.0,4156.0,45.0,44.0,"4,6",42018
Georgia,Lee,75.970301437,29992,10252,401.0,18,40,22,17,12.0,20.0,67.0,6.0,20.0,3496.0,46.0,44.0,"3,1",72425
Georgia,Liberty,76.083875208,61435,14696,743.0,19,38,35,16,13.0,22.0,36.0,254.0,413.0,4246.0,33.0,32.0,"3,7",51410
Georgia,Lincoln,78.140732436,7921,7996,138.0,22,24,30,17,17.0,2.0,25.0,3.0,38.0,3478.0,45.0,47.0,"3,9",45299
Georgia,Lowndes,76.154317589,117406,29716,1493.0,20,36,30,14,17.0,67.0,58.0,201.0,171.0,5258.0,44.0,38.0,"3,5",46450
Georgia,Lumpkin,77.595977549,33610,25154,464.0,21,31,29,18,19.0,11.0,33.0,28.0,83.0,5299.0,42.0,49.0,"3,1",57078
Georgia,McDuffie,73.347399744,21312,13335,431.0,23,40,36,15,15.0,11.0,51.0,14.0,66.0,4445.0,40.0,51.0,"5,1",44473
Georgia,Macon,73.192431285,12947,7840,276.0,25,30,43,14,20.0,1.0,8.0,2.0,15.0,4741.0,41.0,37.0,"4,6",34634
Georgia,Madison,76.419005,29880,25836,462.0,22,25,30,18,19.0,5.0,17.0,4.0,13.0,4928.0,43.0,49.0,"3,0",52326
Georgia,Marion,76.563526112,8359,8742,171.0,23,31,34,16,17.0,1.0,12.0,309.07331166486097,172.59552184904297,2515.0,36.0,40.0,"4,2",41190
Georgia,Meriwether,74.075406232,21167,18316,438.0,23,41,38,15,17.0,7.0,33.0,19.0,90.0,6236.0,34.0,42.0,"4,5",43571
Georgia,Miller,71.28716421,5718,6125,168.0,23,24,30,17,17.0,2.0,35.0,1.0,17.0,5989.0,32.0,35.0,"3,3",41769
Georgia,Mitchell,73.211792846,21863,12809,468.0,25,37,31,15,18.0,9.0,41.0,99.0,453.0,5930.0,44.0,38.0,"4,6",37383
Georgia,Monroe,77.755760379,27578,21200,433.0,20,36,37,17,14.0,18.0,65.0,10.0,36.0,4779.0,45.0,46.0,"3,2",70488
Georgia,Morgan,78.083585829,19276,13467,299.0,19,31,23,18,15.0,10.0,53.0,5.0,26.0,3986.0,42.0,46.0,"3,1",67089
Georgia,Murray,76.043266793,40096,27790,649.0,24,36,32,18,21.0,7.0,18.0,5.0,12.0,6180.0,42.0,49.0,"5,0",50061
Georgia,Muscogee,74.277825204,195769,5654,3227.0,19,38,27,18,14.0,207.0,107.0,614.0,314.0,4364.0,37.0,40.0,"4,5",47035
Georgia,Newton,76.3217472,111744,31231,1559.0,20,40,31,15,16.0,29.0,26.0,109.0,98.0,5268.0,41.0,49.0,"3,9",58222
Georgia,Oconee,81.367169096,40280,16508,303.0,13,25,24,20,11.0,51.0,130.0,89.0,221.0,4602.0,51.0,55.0,"2,5",100878
Georgia,Paulding,78.859805514,168667,28540,1613.0,17,37,26,18,14.0,26.0,16.0,88.0,52.0,6671.0,40.0,46.0,"2,9",76580
Georgia,Peach,74.552979952,27546,10586,513.0,21,42,37,15,16.0,5.0,18.0,27.0,98.0,6278.0,46.0,41.0,"4,1",49815
Georgia,Pickens,77.518649332,32591,21515,514.0,19,34,27,19,16.0,13.0,41.0,22.0,68.0,4252.0,42.0,52.0,"3,0",66183
Georgia,Pierce,75.237715132,19465,14885,343.0,23,36,38,17,17.0,4.0,21.0,4.0,21.0,6692.0,34.0,43.0,"3,4",46701
Georgia,Pike,76.036872854,18962,17684,306.0,20,40,27,19,14.0,4.0,21.0,8.0,42.0,5659.0,36.0,42.0,"3,0",74905
Georgia,Polk,73.759376741,42613,21327,801.0,23,42,33,17,19.0,12.0,28.0,30.0,70.0,7024.0,40.0,47.0,"3,6",47896
Georgia,Pulaski,78.985165296,11137,8011,185.0,23,45,35,15,16.0,7.0,63.0,2.0,18.0,4949.0,43.0,38.0,"3,8",42274
Georgia,Putnam,79.258942022,22119,17175,346.0,20,36,28,17,19.0,8.0,37.0,8.0,36.0,3372.0,48.0,49.0,"4,3",62282
Georgia,Rabun,78.728468161,17137,12904,270.0,21,38,23,18,22.0,12.0,71.0,22.0,128.0,4248.0,36.0,46.0,"3,5",46639
Georgia,Randolph,75.747509533,6778,3908,144.0,26,38,24,13,16.0,2.0,29.0,7.0,103.0,4760.0,36.0,29.0,"4,8",33505
Georgia,Richmond,74.103561692,202518,18483,3611.0,21,36,29,16,16.0,206.0,102.0,628.0,310.0,4392.0,36.0,39.0,"4,5",44810
Georgia,Rockdale,77.316196099,90896,12725,1213.0,17,45,33,14,16.0,65.0,72.0,137.0,151.0,4677.0,41.0,47.0,"3,8",60281
Georgia,Screven,75.073531192,13966,11517,276.0,24,32,36,16,16.0,2.0,14.0,5.0,36.0,5020.0,34.0,32.0,"5,4",42331
Georgia,Seminole,74.304827153,8090,5984,190.0,22,44,23,16,17.0,9.0,108.0,2.0,25.0,8837.0,35.0,33.0,"4,4",38618
Georgia,Spalding,74.652252957,66703,26667,1279.0,22,42,36,16,17.0,30.0,45.0,91.0,136.0,4789.0,44.0,45.0,"4,0",49237
Georgia,Stephens,73.020052375,25925,15329,564.0,21,39,30,17,17.0,17.0,65.0,20.0,77.0,5951.0,40.0,49.0,"3,9",45416
Georgia,Sumter,73.359142581,29524,13713,576.0,22,36,30,15,17.0,20.0,67.0,64.0,217.0,5458.0,41.0,45.0,"4,8",40250
Georgia,Talbot,75.692458286,6195,6445,147.0,23,20,30,15,16.0,2.0,32.0,2.0,32.0,3317.0,36.0,42.0,"4,5",41045
Georgia,Tattnall,75.891607098,25286,17414,412.0,25,36,37,17,20.0,7.0,28.0,5.0,20.0,5084.0,31.0,36.0,"3,8",41457
Georgia,Telfair,79.40731571,15860,7753,246.0,26,31,37,15,16.0,3.0,19.0,309.07331166486097,172.59552184904297,5614.0,31.0,39.0,"9,5",36264
Georgia,Thomas,75.267978393,44451,20581,783.0,21,37,30,16,17.0,42.0,94.0,100.0,225.0,5610.0,49.0,49.0,"4,0",47978
Georgia,Tift,74.967784288,40644,16361,661.0,22,38,34,15,20.0,31.0,76.0,32.0,79.0,5682.0,47.0,50.0,"3,4",47764
Georgia,Toombs,74.544067686,26830,13899,517.0,24,45,36,16,19.0,26.0,97.0,15.0,56.0,5999.0,38.0,36.0,"4,9",41442
Georgia,Towns,77.986097469,12037,10471,214.0,19,26,25,19,18.0,10.0,84.0,3.0,25.0,4542.0,45.0,49.0,"4,8",49023
Georgia,Troup,75.731863485,69922,29700,1158.0,22,50,31,16,14.0,37.0,53.0,91.0,130.0,5369.0,39.0,42.0,"3,2",47296
Georgia,Turner,72.825085612,7985,4441,177.0,24,39,40,15,18.0,1.0,13.0,1.0,13.0,6228.0,44.0,49.0,"3,8",35400
Georgia,Twiggs,72.354503183,8120,9023,203.0,26,37,30,15,18.0,1.0,12.0,309.07331166486097,172.59552184904297,5812.0,48.0,40.0,"5,4",44079
Georgia,Union,79.694325856,24511,21356,370.0,19,28,27,19,19.0,16.0,67.0,18.0,73.0,3465.0,51.0,50.0,"3,1",57049
Georgia,Upson,72.750472614,26320,12737,614.0,24,22,33,16,15.0,16.0,61.0,8.0,30.0,6300.0,28.0,43.0,"3,6",40926
Georgia,Walker,75.448400928,69761,30152,1339.0,23,35,36,17,15.0,13.0,19.0,46.0,66.0,4617.0,38.0,47.0,"3,6",47548
Georgia,Walton,76.852982502,94593,35734,1344.0,20,32,33,16,15.0,24.0,26.0,72.0,76.0,4719.0,41.0,49.0,"3,1",67007
Georgia,Ware,73.704495416,35734,10691,720.0,23,34,37,16,16.0,24.0,67.0,54.0,151.0,6805.0,37.0,43.0,"3,7",37642
Georgia,Warren,75.733672579,5254,5834,124.0,25,50,22,14,15.0,3.0,57.0,2.0,38.0,5889.0,49.0,48.0,"4,5",37313
Georgia,Washington,76.542300225,20374,13899,349.0,24,34,37,15,15.0,13.0,64.0,5.0,25.0,4454.0,42.0,44.0,"4,1",41674
Georgia,Wayne,73.575480621,29927,17439,611.0,23,41,30,17,17.0,12.0,40.0,8.0,27.0,6178.0,33.0,43.0,"4,0",47382
Georgia,Webster,80.262534661,2607,2799,1387.7775761973876,24,23,20,15,16.0,2.0,77.0,309.07331166486097,172.59552184904297,4481.0,36.0,48.0,"5,0",41547
Georgia,Wheeler,79.290860613,7855,7421,99.0,27,39,35,16,16.0,1.0,13.0,309.07331166486097,172.59552184904297,5056.0,40.0,36.0,"7,5",35927
Georgia,White,79.410090434,30798,22745,440.0,20,26,23,19,18.0,6.0,20.0,23.0,75.0,5545.0,43.0,49.0,"2,6",54786
Georgia,Whitfield,78.119147358,104628,29833,1290.0,21,33,33,15,22.0,54.0,52.0,119.0,114.0,5437.0,43.0,49.0,"4,4",53115
Georgia,Wilcox,77.247019206,8635,9255,145.0,24,35,41,16,17.0,1.0,11.0,1.0,12.0,7022.0,43.0,37.0,"4,5",38261
Georgia,Wilkes,75.507877581,9777,7136,213.0,24,41,30,14,20.0,4.0,41.0,2.0,20.0,5520.0,39.0,43.0,"4,5",39716
Georgia,Wilkinson,75.010616534,8954,9563,179.0,24,34,30,15,15.0,3.0,33.0,3.0,34.0,4560.0,47.0,42.0,"3,8",43902
Georgia,Worth,74.627370344,20247,14994,424.0,23,44,34,16,18.0,7.0,34.0,2.0,10.0,5796.0,43.0,40.0,"3,9",43142
Hawaii,Hawaii,80.629070092,201513,70313,2607.0,19,26,20,24,6.0,155.0,77.0,628.0,312.0,2346.0,36.0,37.0,"3,4",64929
Hawaii,Honolulu,82.517335948,974563,8225,9327.0,15,24,20,21,4.0,909.0,93.0,2609.0,268.0,2144.0,44.0,48.0,"2,6",86946
Hawaii,Kauai,81.975345601,72293,8628,782.0,16,24,18,25,5.0,52.0,72.0,151.0,209.0,2219.0,44.0,41.0,"2,7",73029
Hawaii,Maui,82.904404096,167417,22556,1699.0,16,25,18,23,6.0,144.0,86.0,302.0,180.0,1621.0,36.0,39.0,"2,6",77375
Idaho,Ada,80.950206674,481587,21471,3995.0,15,25,15,20,9.0,447.0,95.0,1439.0,299.0,2404.0,45.0,49.0,"2,5",72295
Idaho,Adams,80.102401915,4294,3976,1387.7775761973876,21,32,19,20,16.0,1.0,24.0,3.0,70.0,1785.0,35.0,36.0,"6,8",50042
Idaho,Bannock,77.109520579,87808,13030,1075.0,19,31,22,19,12.0,66.0,76.0,361.0,411.0,2829.0,35.0,45.0,"2,8",53306
Idaho,Bear Lake,78.401636896,6125,5986,66.0,18,30,26,19,11.0,5.0,83.0,4.0,65.0,3430.0,32.0,24.0,"2,9",54550
Idaho,Benewah,74.441249301,9298,6677,165.0,22,30,28,18,15.0,5.0,54.0,24.0,258.0,3099.0,34.0,28.0,"5,2",49303
Idaho,Bingham,77.226878865,46811,25554,553.0,19,34,23,17,15.0,15.0,32.0,64.0,137.0,3289.0,35.0,31.0,"2,7",59959
Idaho,Blaine,85.332070754,23021,7004,166.0,15,17,14,21,18.0,23.0,102.0,45.0,195.0,1400.0,42.0,54.0,"2,6",75778
Idaho,Boise,82.269164479,7831,7028,1387.7775761973876,17,30,25,20,14.0,1.0,13.0,5.0,64.0,2211.0,42.0,37.0,"4,3",64443
Idaho,Bonner,79.590646695,45739,29614,596.0,19,25,19,21,15.0,24.0,54.0,97.0,212.0,1723.0,32.0,35.0,"4,2",56729
Idaho,Bonneville,77.789341652,119062,13500,1215.0,16,29,20,16,11.0,45.0,39.0,350.0,294.0,2140.0,42.0,49.0,"2,4",65165
Idaho,Boundary,79.309753068,12245,8359,169.0,19,27,27,19,18.0,5.0,42.0,17.0,139.0,1258.0,23.0,26.0,"4,4",50709
Idaho,Butte,78.177870414,2597,2891,1387.7775761973876,18,26,28,19,14.0,1.0,38.0,1.0,39.0,3126.0,31.0,29.0,"2,6",51742
Idaho,Canyon,79.085562929,229849,37535,2266.0,19,35,24,17,17.0,71.0,32.0,384.0,167.0,2836.0,40.0,44.0,"3,2",58670
Idaho,Caribou,78.846472086,7155,4170,76.0,17,28,20,20,10.0,3.0,42.0,3.0,42.0,2582.0,26.0,36.0,"2,7",61518
Idaho,Cassia,77.636474903,24030,11823,266.0,19,34,26,17,17.0,19.0,80.0,30.0,125.0,2487.0,34.0,42.0,"2,4",53284
Idaho,Clearwater,80.613889115,8756,5135,134.0,20,34,24,19,14.0,10.0,114.0,10.0,114.0,3638.0,41.0,44.0,"6,8",49816
Idaho,Elmore,78.558591315,27511,7269,306.0,20,36,23,18,14.0,18.0,66.0,43.0,156.0,3305.0,28.0,23.0,"3,3",47796
Idaho,Franklin,77.605370437,13876,8463,147.0,18,29,24,17,13.0,6.0,44.0,8.0,58.0,3617.0,39.0,38.0,"2,3",55421
Idaho,Fremont,80.262780041,13099,9540,120.0,19,29,26,18,15.0,3.0,23.0,8.0,61.0,1720.0,36.0,41.0,"2,3",56162
Idaho,Gem,78.224599315,18112,7527,250.0,21,38,30,19,16.0,10.0,57.0,16.0,88.0,1693.0,32.0,36.0,"3,3",53733
Idaho,Gooding,79.424782515,15179,8982,172.0,20,31,28,19,21.0,4.0,26.0,21.0,138.0,2824.0,35.0,28.0,"2,6",50205
Idaho,Idaho,80.11171809,16667,13117,240.0,20,30,24,22,17.0,11.0,67.0,16.0,96.0,3822.0,35.0,24.0,"4,5",48866
Idaho,Jefferson,79.900877573,29871,17412,235.0,17,36,21,18,14.0,7.0,24.0,7.0,23.0,1588.0,35.0,45.0,"2,3",63078
Idaho,Jerome,79.572108659,24412,11482,227.0,19,32,26,17,19.0,9.0,37.0,5.0,20.0,2390.0,34.0,39.0,"2,6",56320
Idaho,Kootenai,79.269360792,165697,33577,1832.0,17,26,19,19,12.0,131.0,81.0,333.0,201.0,1870.0,45.0,45.0,"3,6",62764
Idaho,Latah,82.876519788,40108,13032,292.0,17,26,15,19,10.0,33.0,82.0,66.0,165.0,2461.0,49.0,48.0,"2,7",54999
Idaho,Lemhi,78.699227986,8027,4852,143.0,20,25,24,19,14.0,7.0,88.0,11.0,137.0,2103.0,37.0,30.0,"4,8",46062
Idaho,Lewis,77.798549755,3838,3821,1387.7775761973876,21,31,24,18,15.0,1.0,26.0,3.0,78.0,2776.0,36.0,36.0,"5,5",45342
Idaho,Lincoln,78.671988025,5366,5208,61.0,20,30,29,17,20.0,1.0,19.0,1.0,19.0,2266.0,30.0,36.0,"3,6",50608
Idaho,Madison,80.327855012,39907,10684,163.0,18,27,16,14,11.0,25.0,64.0,63.0,158.0,2007.0,37.0,43.0,"1,8",46177
Idaho,Minidoka,77.784891855,21039,8875,250.0,20,31,27,17,19.0,5.0,24.0,8.0,38.0,2074.0,32.0,35.0,"2,5",56173
Idaho,Nez Perce,77.541980453,40408,7525,550.0,19,30,22,20,12.0,28.0,69.0,116.0,287.0,3348.0,45.0,46.0,"2,8",67645
Idaho,Oneida,78.558418063,4531,4286,1387.7775761973876,19,32,25,19,14.0,2.0,45.0,6.0,132.0,3874.0,33.0,21.0,"2,3",55833
Idaho,Owyhee,78.244372239,11823,8909,154.0,21,40,27,18,24.0,1.0,9.0,4.0,34.0,2533.0,32.0,34.0,"3,4",48395
Idaho,Payette,76.582339905,23951,9653,344.0,19,38,28,18,15.0,10.0,42.0,26.0,109.0,1851.0,40.0,40.0,"3,6",53643
Idaho,Power,79.451437099,7681,3329,82.0,19,39,25,18,18.0,2.0,26.0,3.0,39.0,1367.0,35.0,40.0,"3,1",50981
Idaho,Shoshone,75.516786277,12882,7153,253.0,23,35,23,19,15.0,6.0,47.0,16.0,124.0,2523.0,35.0,44.0,"5,9",39239
Idaho,Teton,83.796581916,12142,10170,70.0,14,19,17,20,17.0,4.0,34.0,12.0,99.0,1619.0,43.0,33.0,"2,2",73637
Idaho,Twin Falls,78.128580728,86878,21617,971.0,17,31,26,18,15.0,61.0,71.0,236.0,272.0,2982.0,36.0,50.0,"2,8",56141
Idaho,Valley,85.328338737,11392,9862,97.0,16,29,19,22,14.0,17.0,154.0,21.0,184.0,2271.0,37.0,46.0,"3,9",64041
Idaho,Washington,78.717306852,10194,4647,139.0,21,36,29,19,18.0,5.0,49.0,4.0,39.0,2094.0,33.0,30.0,"4,2",45813
Illinois,Adams,78.252894651,65435,21875,905.0,21,38,29,22,6.0,62.0,94.0,180.0,275.0,5655.0,52.0,42.0,"3,4",55942
Illinois,Alexander,73.507989236,5761,5096,146.0,27,18,19,17,7.0,1.0,17.0,27.0,469.0,4429.0,40.0,37.0,"6,2",37408
Illinois,Bond,78.558007875,16426,10792,223.0,21,28,22,21,6.0,10.0,60.0,25.0,152.0,3220.0,44.0,46.0,"3,8",53447
Illinois,Boone,79.715076748,53544,10488,574.0,19,34,26,21,8.0,29.0,54.0,23.0,43.0,4571.0,41.0,49.0,"5,6",72426
Illinois,Brown,77.969600237,6578,2849,77.0,22,21,21,22,4.0,1.0,15.0,21.0,319.0,5838.0,50.0,31.0,"2,4",60254
Illinois,Bureau,79.343559891,32628,20074,466.0,20,32,34,22,7.0,17.0,52.0,21.0,64.0,3503.0,45.0,43.0,"4,6",57935
Illinois,Calhoun,82.418111384,4739,5089,1387.7775761973876,22,30,21,22,6.0,1.0,21.0,309.07331166486097,172.59552184904297,5283.0,36.0,43.0,"4,8",63373
Illinois,Carroll,79.381974167,14305,12598,216.0,21,29,25,23,7.0,4.0,28.0,18.0,126.0,3285.0,34.0,50.0,"4,1",56468
Illinois,Champaign,80.457304766,209689,25558,1809.0,17,30,22,21,6.0,202.0,96.0,554.0,264.0,5462.0,44.0,50.0,"3,8",53485
Illinois,Christian,77.379855302,32304,15121,500.0,22,36,32,22,6.0,13.0,40.0,20.0,62.0,6155.0,46.0,43.0,"4,8",51573
Illinois,Clark,77.315818133,15441,9726,234.0,22,31,35,22,6.0,6.0,38.0,4.0,26.0,6828.0,36.0,39.0,"4,5",58323
Illinois,Clay,78.093508025,13184,8943,186.0,23,28,35,21,7.0,2.0,15.0,17.0,129.0,2590.0,46.0,38.0,"4,5",49377
Illinois,Clinton,79.866018325,37562,18412,406.0,20,31,21,22,6.0,15.0,40.0,19.0,51.0,3428.0,48.0,41.0,"3,1",67201
Illinois,Coles,78.863080769,50621,13085,612.0,22,33,25,20,7.0,35.0,69.0,179.0,354.0,7576.0,44.0,44.0,"4,0",50467
Illinois,Cook,79.690239839,5150233,2353,57640.0,16,28,21,22,10.0,4911.0,95.0,14940.0,290.0,5144.0,41.0,48.0,"3,8",69375
Illinois,Crawford,78.415641943,18667,11923,237.0,22,28,32,23,6.0,10.0,53.0,38.0,204.0,2995.0,44.0,41.0,"4,3",50352
Illinois,DeKalb,79.401093634,104897,21353,950.0,19,33,20,20,7.0,30.0,29.0,272.0,259.0,4490.0,39.0,54.0,"4,1",64676
Illinois,De Witt,75.897031917,15638,8074,256.0,21,28,26,22,6.0,5.0,32.0,6.0,38.0,4261.0,40.0,42.0,"4,3",59521
Illinois,Douglas,78.817628388,19465,12315,244.0,22,26,22,21,10.0,5.0,26.0,3.0,15.0,5614.0,47.0,41.0,"3,6",64283
Illinois,DuPage,82.529524067,922921,436,7082.0,14,26,16,21,6.0,1248.0,134.0,2926.0,317.0,3760.0,45.0,56.0,"2,9",96354
Illinois,Edgar,76.963239532,17161,9623,283.0,22,31,31,23,6.0,6.0,35.0,18.0,105.0,6707.0,36.0,35.0,"4,2",51333
Illinois,Effingham,78.217835097,34008,20442,412.0,20,29,21,23,6.0,27.0,79.0,64.0,188.0,3455.0,54.0,34.0,"3,3",58943
Illinois,Fayette,79.10990233,21336,14831,301.0,25,30,26,21,8.0,3.0,14.0,20.0,94.0,5687.0,43.0,42.0,"4,4",48913
Illinois,Ford,76.571469005,12961,5883,205.0,22,29,29,22,6.0,10.0,75.0,63.0,486.0,5460.0,45.0,33.0,"4,3",55369
Illinois,Franklin,75.76308572,38469,19219,736.0,25,33,30,20,7.0,13.0,34.0,257.0,668.0,7004.0,41.0,37.0,"5,4",43695
Illinois,Fulton,76.291474371,34340,22251,599.0,23,25,26,21,7.0,12.0,34.0,19.0,55.0,5183.0,42.0,36.0,"5,6",50461
Illinois,Gallatin,73.032388023,4828,5589,113.0,25,26,23,21,6.0,1.0,20.0,309.07331166486097,172.59552184904297,6373.0,41.0,31.0,"4,9",46515
Illinois,Greene,76.872005488,12969,9838,213.0,23,25,23,22,7.0,2.0,15.0,309.07331166486097,172.59552184904297,4987.0,42.0,35.0,"4,3",52116
Illinois,Grundy,78.223621377,51054,12203,592.0,18,32,23,22,5.0,16.0,31.0,82.0,161.0,5206.0,43.0,49.0,"4,5",83135
Illinois,Hamilton,78.672233941,8116,5759,115.0,21,29,27,23,6.0,3.0,37.0,2.0,25.0,6051.0,40.0,37.0,"3,9",51031
Illinois,Hancock,79.312735053,17708,13559,241.0,21,30,26,22,6.0,4.0,22.0,28.0,158.0,3978.0,46.0,40.0,"4,7",53724
Illinois,Hardin,72.386244817,3821,4320,99.0,25,29,27,21,8.0,4.0,102.0,1.0,26.0,9634.0,37.0,20.0,"6,6",44573
Illinois,Henry,79.464086037,48913,25382,633.0,20,33,26,23,6.0,10.0,20.0,21.0,43.0,3706.0,45.0,46.0,"4,8",61680
